카테고리: 모든 카테고리

월,diet: (전 세계),gym: (전 세계),finance: (전 세계)
2004-01,100,31,48
2004-02,75,26,50
2004-03,72,26,45
2004-04,69,22,47
2004-05,73,22,43
2004-06,65,23,44
2004-07,63,24,46
2004-08,58,27,45
2004-09,55,27,45
2004-10,52,23,44
2004-11,51,25,44
2004-12,43,23,40
2005-01,64,33,45
2005-02,54,28,48
2005-03,56,27,45
2005-04,56,25,44
2005-05,60,25,43
2005-06,53,25,44
2005-07,53,25,43
2005-08,53,27,45
2005-09,46,27,46
2005-10,47,26,45
2005-11,44,26,43
2005-12,40,25,38
2006-01,64,34,45
2006-02,52,28,45
2006-03,51,28,49
2006-04,50,26,46
2006-05,51,26,46
2006-06,52,25,45
2006-07,51,28,44
2006-08,49,30,45
2006-09,46,30,46
2006-10,43,28,46
2006-11,43,27,45
2006-12,37,27,40
2007-01,57,36,47
2007-02,49,33,49
2007-03,52,32,48
2007-04,52,31,48
2007-05,49,32,48
2007-06,49,31,47
2007-07,48,31,50
2007-08,45,32,53
2007-09,45,32,50
2007-10,43,27,52
2007-11,40,27,51
2007-12,35,26,43
2008-01,54,35,53
2008-02,46,30,52
2008-03,45,29,53
2008-04,48,28,53
2008-05,45,27,49
2008-06,43,27,50
2008-07,43,28,52
2008-08,44,31,49
2008-09,42,32,63
2008-10,42,29,73
2008-11,40,28,59
2008-12,37,27,52
2009-01,53,36,54
2009-02,46,30,58
2009-03,48,29,61
2009-04,50,29,59
2009-05,48,28,55
2009-06,47,28,55
2009-07,47,28,56
2009-08,48,31,58
2009-09,44,30,59
2009-10,44,28,55
2009-11,43,28,52
2009-12,39,27,47
2010-01,58,36,51
2010-02,50,32,53
2010-03,52,30,55
2010-04,52,30,56
2010-05,51,28,54
2010-06,48,28,53
2010-07,49,30,52
2010-08,49,32,52
2010-09,47,32,53
2010-10,45,29,51
2010-11,44,29,50
2010-12,40,28,46
2011-01,60,39,50
2011-02,52,34,51
2011-03,55,33,52
2011-04,59,32,50
2011-05,57,31,49
2011-06,54,32,48
2011-07,54,31,47
2011-08,52,34,57
2011-09,49,35,52
2011-10,48,33,49
2011-11,49,34,47
2011-12,44,32,42
2012-01,64,43,44
2012-02,57,38,48
2012-03,56,35,48
2012-04,56,35,46
2012-05,54,34,48
2012-06,54,35,45
2012-07,56,37,45
2012-08,55,37,45
2012-09,52,38,47
2012-10,48,34,46
2012-11,45,33,43
2012-12,42,33,39
2013-01,65,44,47
2013-02,58,38,46
2013-03,58,38,46
2013-04,59,38,48
2013-05,56,37,47
2013-06,54,38,44
2013-07,54,38,46
2013-08,53,40,45
2013-09,52,40,48
2013-10,49,38,48
2013-11,46,37,44
2013-12,41,37,40
2014-01,62,47,46
2014-02,54,43,47
2014-03,54,42,46
2014-04,53,41,47
2014-05,52,39,44
2014-06,50,39,44
2014-07,48,39,46
2014-08,47,41,45
2014-09,46,41,49
2014-10,43,38,48
2014-11,42,38,43
2014-12,39,39,42
2015-01,55,50,45
2015-02,49,44,46
2015-03,51,44,46
2015-04,51,42,46
2015-05,49,41,43
2015-06,47,43,45
2015-07,47,43,47
2015-08,47,44,48
2015-09,43,45,49
2015-10,42,40,45
2015-11,40,42,43
2015-12,37,42,40
2016-01,52,52,44
2016-02,48,47,47
2016-03,47,47,44
2016-04,49,46,43
2016-05,48,46,42
2016-06,45,48,45
2016-07,44,58,42
2016-08,45,54,41
2016-09,43,50,43
2016-10,41,44,42
2016-11,38,45,43
2016-12,36,44,39
2017-01,54,57,43
2017-02,58,51,44
2017-03,52,50,45
2017-04,49,48,42
2017-05,49,48,44
2017-06,47,50,42
2017-07,50,52,42
2017-08,46,52,44
2017-09,44,51,47
2017-10,45,47,47
2017-11,42,47,48
2017-12,39,46,51
2018-01,60,59,55
2018-02,53,52,50
2018-03,55,51,49
2018-04,58,50,47
2018-05,56,49,46
2018-06,52,50,45
2018-07,54,50,45
2018-08,50,51,46
2018-09,47,50,47
2018-10,45,47,48
2018-11,44,48,43
2018-12,42,48,41
2019-01,63,58,46
2019-02,53,52,47
2019-03,53,51,46
2019-04,54,49,46
2019-05,47,47,48
2019-06,48,52,47
2019-07,47,51,48
2019-08,45,52,57
2019-09,45,52,51
2019-10,43,48,52
2019-11,42,51,50
2019-12,38,49,49
2020-01,53,59,53
2020-02,47,54,61
2020-03,34,51,76
2020-04,36,36,64
2020-05,43,38,61
2020-06,43,42,67
2020-07,43,44,63
2020-08,43,47,59
